64 3 2400.0
0 0.0 0.0 0.0
1 -385.2 -412.1 25.0
2 -420.5 -380.4 30.0
3 -370.1 -430.8 15.0
4 -410.9 -395.2 40.0
5 -445.0 -415.6 20.0
6 -360.2 -370.5 10.0
7 -390.4 -440.1 25.0
8 -430.1 -435.0 30.0
9 -375.8 -405.4 15.0
10 -415.2 -365.8 20.0
11 -400.0 -400.0 40.0
12 -425.3 -410.2 10.0
13 -365.1 -420.5 25.0
14 -380.9 -390.7 30.0
15 -435.4 -385.1 15.0
16 385.2 -412.1 25.0
17 420.5 -380.4 30.0
18 370.1 -430.8 15.0
19 410.9 -395.2 40.0
20 445.0 -415.6 20.0
21 360.2 -370.5 10.0
22 390.4 -440.1 25.0
23 430.1 -435.0 30.0
24 375.8 -405.4 15.0
25 415.2 -365.8 20.0
26 400.0 -400.0 40.0
27 425.3 -410.2 10.0
28 365.1 -420.5 25.0
29 380.9 -390.7 30.0
30 435.4 -385.1 15.0
31 -385.2 412.1 25.0
32 -420.5 380.4 30.0
33 -370.1 430.8 15.0
34 -410.9 395.2 40.0
35 -445.0 415.6 20.0
36 -360.2 370.5 10.0
37 -390.4 440.1 25.0
38 -430.1 435.0 30.0
39 -375.8 405.4 15.0
40 -415.2 365.8 20.0
41 -400.0 400.0 40.0
42 -425.3 410.2 10.0
43 -365.1 420.5 25.0
44 -380.9 390.7 30.0
45 -435.4 385.1 15.0
46 385.2 412.1 25.0
47 420.5 380.4 30.0
48 370.1 430.8 15.0
49 410.9 395.2 40.0
50 445.0 415.6 20.0
51 360.2 370.5 10.0
52 390.4 440.1 25.0
53 430.1 435.0 30.0
54 375.8 405.4 15.0
55 415.2 365.8 20.0
56 400.0 400.0 40.0
57 425.3 410.2 10.0
58 365.1 420.5 25.0
59 380.9 390.7 30.0
60 435.4 385.1 15.0
61 100.0 120.0 20.0
62 -120.0 -90.0 20.0
63 80.0 -110.0 20.0
